"Date","Price","Open","High","Low","Change %"
"05/05/2020","112.650","111.999","112.950","111.272","0.29%"
"05/04/2020","112.323","114.497","114.655","111.907","-1.29%"
"05/03/2020","113.794","113.794","113.794","113.794","-0.41%"
"05/01/2020","114.267","115.250","115.978","113.529","-0.54%"
"04/30/2020","114.883","115.593","116.062","113.724","-0.48%"
"04/29/2020","115.434","116.172","116.817","115.344","-0.65%"
"04/28/2020","116.189","114.523","116.450","114.356","1.43%"
"04/27/2020","114.549","116.114","116.114","114.534","-1.36%"
"04/26/2020","116.129","116.039","116.129","116.009","0.01%"
"04/24/2020","116.120","116.026","116.487","115.566","-0.03%"
"04/23/2020","116.155","115.975","116.749","115.655","0.18%"
"04/22/2020","115.941","116.166","116.821","115.153","-0.88%"
"04/21/2020","116.975","116.228","118.023","116.123","0.84%"
"04/20/2020","115.999","116.809","117.560","115.999","-0.72%"
"04/19/2020","116.840","116.764","116.840","116.764","-0.07%"
"04/17/2020","116.917","117.317","119.300","116.651","-1.49%"
"04/16/2020","118.689","116.533","118.689","116.508","1.61%"
"04/15/2020","116.806","115.611","118.330","115.556","1.07%"
"04/14/2020","115.567","116.767","117.340","115.403","-1.06%"
"04/13/2020","116.804","115.648","117.079","114.887","0.99%"
"04/12/2020","115.658","115.818","115.818","115.658","-0.10%"
"04/10/2020","115.770","115.770","115.770","115.770","0.16%"
"04/09/2020","115.588","111.610","115.924","111.539","3.43%"
"04/08/2020","111.754","112.609","112.749","110.983","-0.42%"
"04/07/2020","112.228","108.772","112.531","108.132","2.06%"
"04/06/2020","109.964","110.869","110.869","110.718","-0.72%"
"04/05/2020","110.760","110.798","110.855","110.732","-0.56%"
"04/03/2020","111.383","111.828","112.751","109.224","-0.24%"
"04/02/2020","111.655","112.795","112.916","111.435","-0.52%"
"04/01/2020","112.244","113.539","115.573","111.468","-1.38%"
"03/31/2020","113.819","112.057","114.064","110.223","1.68%"
"03/30/2020","111.943","112.931","115.699","111.900","-0.81%"
"03/29/2020","112.858","112.747","112.878","112.747","0.30%"
"03/27/2020","112.525","112.651","115.337","110.502","3.10%"
"03/26/2020","109.139","109.116","110.491","108.750","0.66%"
"03/25/2020","108.421","105.987","116.061","105.555","2.37%"
"03/24/2020","105.912","96.590","106.617","94.841","7.69%"
"03/23/2020","98.345","88.692","98.621","87.535","11.11%"
"03/22/2020","88.508","88.614","88.677","88.508","0.60%"
"03/20/2020","87.978","92.834","96.713","87.978","-4.75%"
"03/19/2020","92.364","94.925","97.226","87.778","-2.55%"
"03/18/2020","94.777","101.435","102.546","92.811","-6.07%"
"03/17/2020","100.900","100.900","100.900","100.900","-7.67%"
"03/16/2020","109.280","109.280","109.280","109.280","-2.00%"
"03/15/2020","111.511","111.929","111.929","111.511","4.87%"
"03/13/2020","106.330","106.330","106.330","106.330","-1.53%"
"03/12/2020","107.986","107.986","107.986","107.986","-0.32%"
"03/11/2020","108.336","108.336","108.336","108.336","-6.25%"
"03/10/2020","115.563","115.563","115.563","115.563","-2.71%"
"03/09/2020","118.780","118.780","118.780","118.780","-3.15%"
"03/08/2020","122.643","122.546","122.643","122.417","4.68%"
"03/06/2020","117.161","117.161","117.161","117.161","1.70%"
"03/05/2020","115.204","115.204","115.204","115.204","1.09%"
"03/04/2020","113.962","113.962","113.962","113.962","-0.36%"
